name;votes;level
Обязать поставщиков тепловой энергии снижать ежегодно потери тепла при передаче и нагреве теплового носителя, тем самым снижая тариф. Те поставщики, которые не снижают издержки  должны оплачивать их за свой счет.;1831;Федеральный
Запретить мелкий шрифт в рекламе;1828;Федеральный
Упростить замену и получение водительских прав, внедрив межведомственные взаимодействия ГИБДД с нарко- и психдиспансерами;1826;Федеральный
Удалить пп.1 п.4 ст.18 закона № 400-ФЗ, ухудшающий положение работающих пенсионеров;1824;Федеральный
Запретить использование растительных масел лауринового типа (гидрогенизированных растительных масел) в продуктах питания;1823;Федеральный
Установить заработную плату руководителям предприятий, не превышающую трехкратный минимальный размер оплаты труда на данном предприятии;1814;Федеральный
Законодательно обязать работодателей индексировать зарплаты по факту официальной публикации размера инфляции ;1807;Федеральный
Увеличить пособие по уходу за человеком старше 80 лет до размеров МРОТ;1806;Федеральный
Освободить от налогов все зарплаты меньше двух минимальных прожиточных минимумов по месту трудовой деятельности;1801;Федеральный
Ввести присягу для госслужащих, депутатов и чиновников;1800;Федеральный
Отменить систему ЕГЭ в России;1794;Федеральный
Ввести ответственность за прием в эксплуатацию построенных и отремонтированных дорог в виде обязанности учреждения (мэрия), принявшего дорогу в эксплуатацию, ремонта за свой счет при обнаружении недостатков в гарантийный период;1792;Федеральный
Разработать комплексную программу по борьбе с несанкционированными свалками и загрязнением лесов;1790;Федеральный
Повысить социальную защищённость граждан, достигших пенсионного возраста;1790;Федеральный
Организовать работу поликлиник в субботу;1785;Федеральный
Вернуть парту Эрисмана в образовательные учреждения;1775;Федеральный
Перевести финансирование питания за счёт государственного бюджета с тюрем на школы;1771;Федеральный
Решать все значимые для всего населения вопросы только путем общероссийского референдума;1769;Федеральный
Запретить коммерческий промысел и охоту на бурых медведей;1757;Федеральный
Сделать коммунальные услуги для россиян бесплатными или минимальными, снизить цены на бензин;1746;Федеральный
