name;startDate;endDate;votes
Новый центр госуслуг «Мои документы» в Тверском;6.07.2015;27.07.2015;13304
Новый сезон программы «Моя улица»;27.10.2015;8.11.2015;199161
Новый краудсорсинг-проект «Детские поликлиники»;19.01.2016;24.01.2016;121774
Новый центр госуслуг «Мои документы» в Донском районе;6.07.2015;27.07.2015;27570
Новый адрес для центра госуслуг района Некрасовка;19.10.2015;8.11.2015;24096
Всей семьей за здоровьем;28.12.2015;10.01.2016;143330
Электрички выходят в сеть;29.04.2015;20.05.2015;260247
Спецсчёт для вашего дома. Кому поможет город?;19.10.2015;8.11.2015;243613
«Автокод» — помощник московских автомобилистов;11.03.2015;20.04.2015;303735
Новый центр госуслуг «Мои документы» в районе Якиманка;6.07.2015;27.07.2015;13238
Новый центр госуслуг «Мои документы» в районе Митино;6.07.2015;27.07.2015;16750
Экологический лекторий;20.05.2015;11.06.2015;272438
Повышение квалификации медицинских работников;12.10.2016;09.01.2017;10518
Новое в работе московских кинотеатров. Кинотеатр «Звезда»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Сатурн»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Космос»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Полет»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Молодежный»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Искра»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Вымпел»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Березка»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Юность»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Факел»;10.08.2017;03.09.2017;197752
Новое в работе московских кинотеатров. Кинотеатр «Тула»;10.08.2017;03.09.2017;197752
